order_no,order_date,cust_no
1245,'19-01-2025',177
1246,'14-11-2023',400
1247,'04-02-2024',332
1248,'03-08-2025',384
1249,'11-02-2025',839
1250,'10-09-2024',783
1251,'08-10-2024',844
1252,'22-06-2023',782
1253,'19-12-2024',816
1254,'19-06-2023',439
1255,'03-06-2025',402
1256,'01-07-2024',166
1257,'14-01-2024',799
1258,'24-05-2024',724
1259,'19-10-2024',363
1260,'08-09-2025',44
1261,'22-02-2024',81
1262,'11-12-2024',250
1263,'04-02-2025',611
1264,'18-11-2023',127
1265,'31-10-2023',905
1266,'26-01-2024',488
1267,'20-12-2025',93
1268,'01-08-2023',847
1269,'08-08-2023',681
1270,'20-02-2023',823
1271,'12-05-2025',110
1272,'28-10-2024',7
1273,'06-04-2025',520
1274,'21-01-2025',135
1275,'18-09-2025',307
1276,'09-12-2023',854
1277,'16-06-2025',850
1278,'08-02-2024',741
1279,'26-01-2024',446
1280,'26-09-2025',514
1281,'15-04-2023',253
1282,'05-12-2025',802
1283,'24-01-2024',889
1284,'24-12-2024',650
1285,'29-09-2024',428
1286,'03-02-2023',605
1287,'19-02-2024',8
1288,'16-08-2023',808
1289,'21-02-2025',345
1290,'08-04-2023',698
1291,'18-05-2025',117
1292,'09-08-2025',959
1293,'01-04-2023',994
1294,'07-08-2023',635
1295,'20-11-2024',423
1296,'26-06-2023',56
1297,'20-08-2024',448
1298,'22-12-2023',573
1299,'12-08-2024',915
1300,'10-01-2025',110
1301,'26-09-2025',263
1302,'25-10-2024',944
1303,'12-09-2025',884
1304,'20-02-2024',338
1305,'07-05-2023',299
1306,'21-04-2024',438
1307,'03-09-2023',927
1308,'21-06-2023',864
1309,'06-09-2025',767
1310,'17-12-2024',752
1311,'18-11-2023',554
1312,'01-01-2025',977
1313,'25-03-2025',774
1314,'23-12-2024',674
1315,'09-08-2023',69
1316,'25-03-2025',173
1317,'20-04-2025',973
1318,'13-01-2025',265
1319,'25-06-2024',289
1320,'26-09-2023',869
1321,'18-12-2024',940
1322,'08-11-2023',42
1323,'22-11-2023',329
1324,'22-03-2024',32
1325,'14-02-2025',69
1326,'04-02-2023',51
1327,'22-08-2024',204
1328,'18-12-2025',180
1329,'26-08-2025',596
1330,'31-03-2024',299
1331,'08-08-2023',940
1332,'10-05-2025',414
1333,'01-03-2023',219
1334,'30-12-2024',454
1335,'21-07-2025',796
1336,'01-03-2024',984
1337,'14-03-2024',824
1338,'10-01-2024',979
1339,'08-08-2023',423
1340,'25-10-2023',771
1341,'12-02-2025',880
1342,'12-08-2024',777
1343,'15-02-2023',318
1344,'05-01-2023',713
1345,'22-05-2025',97
1346,'20-11-2023',478
1347,'04-10-2024',877
1348,'22-04-2023',989
1349,'25-04-2025',962
1350,'17-02-2024',873
1351,'26-02-2024',400
1352,'05-06-2024',424
1353,'26-04-2023',131
1354,'28-09-2024',51
1355,'28-08-2023',670
1356,'22-09-2025',383
1357,'12-08-2024',317
1358,'03-01-2024',994
1359,'17-06-2023',486
1360,'05-12-2024',298
1361,'06-05-2025',7
1362,'13-08-2023',753
1363,'15-05-2025',838
1364,'28-08-2025',939
1365,'11-11-2024',363
1366,'24-07-2025',365
1367,'19-01-2025',586
1368,'28-04-2024',385
1369,'02-01-2025',91
1370,'15-05-2023',443
1371,'19-10-2024',492
1372,'04-05-2025',313
1373,'19-07-2024',955
1374,'14-05-2024',680
1375,'08-02-2024',452
1376,'07-10-2023',115
1377,'15-06-2023',744
1378,'11-12-2023',680
1379,'21-09-2025',842
1380,'13-04-2024',358
1381,'20-07-2023',313
1382,'24-01-2023',167
1383,'18-12-2023',162
1384,'08-08-2025',637
1385,'02-10-2025',855
1386,'13-06-2025',542
1387,'10-08-2023',382
1388,'07-03-2024',719
1389,'07-02-2023',857
1390,'28-12-2024',113
1391,'20-11-2023',428
1392,'06-10-2024',254
1393,'04-10-2025',106
1394,'12-12-2023',708
1395,'28-12-2024',29
1396,'18-07-2025',943
1397,'12-10-2024',870
1398,'07-05-2025',225
1399,'08-01-2024',694
1400,'20-01-2023',426
1401,'21-08-2023',884
1402,'03-02-2024',257
1403,'25-12-2025',674
1404,'26-07-2025',356
1405,'25-03-2025',576
1406,'28-12-2025',345
1407,'14-10-2023',373
1408,'29-03-2025',322
1409,'27-09-2025',524
1410,'06-06-2025',659
1411,'03-07-2025',950
1412,'26-07-2024',456
1413,'19-10-2024',380
1414,'18-05-2025',451
1415,'31-03-2024',478
1416,'04-12-2023',764
1417,'24-09-2023',516
1418,'27-06-2024',911
1419,'20-09-2025',293
1420,'27-11-2023',382
1421,'16-05-2025',232
1422,'12-11-2025',399
1423,'13-05-2023',447
1424,'19-11-2025',486
1425,'23-01-2023',650
1426,'11-05-2024',836
1427,'07-01-2023',221
1428,'18-12-2025',745
1429,'03-11-2023',342
1430,'11-11-2024',104
1431,'28-12-2025',296
1432,'27-07-2025',974
1433,'29-06-2023',447
1434,'13-12-2024',701
1435,'25-09-2025',756
1436,'18-01-2025',691
1437,'26-01-2024',419
1438,'24-09-2025',104
1439,'19-08-2023',185
1440,'21-08-2025',839
1441,'03-02-2023',474
1442,'25-11-2023',223
1443,'29-10-2024',87
1444,'12-08-2023',488
1445,'23-10-2023',180
1446,'07-12-2024',442
1447,'13-07-2024',760
1448,'15-08-2023',236
1449,'03-12-2025',943
1450,'02-01-2023',340
1451,'04-04-2024',413
1452,'31-07-2025',289
1453,'24-03-2023',945
1454,'17-03-2023',447
1455,'05-06-2024',41
1456,'07-11-2024',398
1457,'27-09-2023',721
1458,'28-03-2025',481
1459,'16-03-2024',79
1460,'14-04-2024',289
1461,'18-11-2023',716
1462,'11-09-2025',942
1463,'19-06-2023',167
1464,'18-07-2025',298
1465,'20-05-2024',754
1466,'28-07-2024',295
1467,'13-03-2023',236
1468,'30-08-2024',214
1469,'04-09-2024',729
1470,'14-07-2024',48
1471,'23-03-2024',560
1472,'14-07-2023',555
1473,'15-02-2023',421
1474,'21-11-2023',705
1475,'01-10-2025',403
1476,'22-02-2025',502
1477,'08-01-2023',777
1478,'03-05-2025',757
1479,'09-02-2025',147
1480,'21-04-2023',917
1481,'26-01-2024',43
1482,'26-05-2025',665
1483,'27-08-2023',621
1484,'20-04-2024',842
1485,'28-01-2023',49
1486,'18-11-2023',710
1487,'02-10-2024',138
1488,'30-05-2024',20
1489,'09-05-2023',201
1490,'28-11-2023',789
1491,'21-05-2023',627
1492,'28-12-2023',651
1493,'28-07-2023',479
1494,'17-03-2024',305
1495,'05-02-2025',712
1496,'29-11-2023',315
1497,'25-01-2024',656
1498,'03-12-2025',813
1499,'20-04-2023',789
1500,'12-03-2024',290
1501,'30-11-2023',277
1502,'12-03-2024',710
1503,'05-12-2024',887
1504,'15-09-2023',540
1505,'25-08-2025',525
1506,'25-02-2023',988
1507,'06-02-2025',373
1508,'21-11-2024',905
1509,'25-02-2023',975
1510,'11-03-2024',495
1511,'26-06-2024',629
1512,'11-05-2023',318
1513,'17-03-2025',605
1514,'05-11-2023',843
1515,'29-09-2024',499
1516,'04-10-2025',321
1517,'17-10-2023',760
1518,'28-07-2024',899
1519,'18-04-2023',277
1520,'10-12-2024',520
1521,'13-11-2025',38
1522,'28-03-2024',58
1523,'24-01-2024',154
1524,'14-03-2024',790
1525,'02-05-2024',824
1526,'23-09-2023',386
1527,'11-01-2024',725
1528,'19-09-2024',46
1529,'22-10-2024',867
1530,'04-01-2024',470
1531,'11-07-2023',317
1532,'14-01-2025',99
1533,'28-12-2023',298
1534,'03-05-2025',205
1535,'20-04-2025',170
1536,'27-02-2025',158
1537,'27-02-2025',974
1538,'16-04-2023',597
1539,'21-11-2024',621
1540,'04-12-2023',894
1541,'02-10-2024',50
1542,'30-08-2025',153
1543,'22-09-2025',770
1544,'14-04-2024',818
1545,'30-04-2023',609
1546,'06-01-2023',892
1547,'14-08-2023',256
1548,'29-09-2023',736
1549,'25-06-2024',193
1550,'15-01-2025',18
1551,'31-08-2025',992
1552,'12-06-2024',366
1553,'28-01-2024',520
1554,'06-10-2024',128
1555,'06-12-2023',166
1556,'07-02-2023',700
1557,'01-02-2023',765
1558,'07-06-2024',546
1559,'31-08-2025',875
1560,'14-09-2023',293
1561,'14-02-2024',365
1562,'10-11-2023',163
1563,'11-08-2024',395
1564,'07-06-2024',181
1565,'24-09-2023',904
1566,'30-12-2023',253
1567,'08-04-2024',875
1568,'08-09-2024',584
1569,'04-03-2023',788
1570,'06-10-2024',286
1571,'19-03-2025',788
1572,'17-10-2024',520
1573,'08-05-2024',627
1574,'20-05-2023',54
1575,'30-07-2023',75
1576,'06-10-2024',786
1577,'25-08-2025',442
1578,'26-08-2024',320
1579,'30-12-2024',16
1580,'18-02-2023',921
1581,'08-09-2024',701
1582,'04-02-2024',23
1583,'07-02-2023',966
1584,'03-01-2023',297
1585,'09-11-2023',258
1586,'15-04-2025',503
1587,'15-05-2025',579
1588,'01-11-2023',531
1589,'30-04-2025',406
1590,'08-02-2023',343
1591,'24-02-2024',299
1592,'14-09-2024',162
1593,'03-01-2023',738
1594,'03-09-2024',882
1595,'03-11-2025',708
1596,'15-08-2025',702
1597,'16-07-2023',192
1598,'07-11-2025',486
1599,'04-10-2024',974
1600,'10-02-2024',68
1601,'11-12-2023',454
1602,'02-02-2023',27
1603,'29-09-2024',160
1604,'18-09-2024',401
1605,'20-07-2024',876
1606,'19-03-2025',171
1607,'18-07-2023',215
1608,'22-02-2023',415
1609,'15-01-2025',602
1610,'29-02-2024',664
1611,'18-05-2024',386
1612,'13-12-2024',379
1613,'09-12-2024',33
1614,'24-11-2023',803
1615,'11-06-2023',277
1616,'06-11-2025',153
1617,'10-01-2023',996
1618,'14-08-2025',66
1619,'18-02-2023',258
1620,'20-04-2024',844
1621,'24-08-2025',750
1622,'23-05-2025',681
1623,'23-04-2025',996
1624,'27-04-2025',461
1625,'21-09-2024',565
1626,'05-10-2024',997
1627,'30-04-2025',233
1628,'12-04-2024',56
1629,'24-02-2024',501
1630,'25-11-2023',659
1631,'06-02-2023',332
1632,'09-01-2024',771
1633,'29-08-2025',701
1634,'04-12-2025',747
1635,'02-01-2023',532
1636,'07-02-2023',173
1637,'07-06-2024',904
1638,'24-06-2024',793
1639,'20-05-2024',982
1640,'13-12-2024',239
1641,'19-09-2023',120
1642,'29-08-2023',189
1643,'03-06-2024',250
1644,'13-04-2025',980
1645,'08-11-2025',605
1646,'01-11-2025',209
1647,'01-03-2025',551
1648,'24-04-2025',650
1649,'22-02-2024',597
1650,'12-06-2023',735
1651,'17-05-2023',885
1652,'16-04-2024',24
1653,'12-06-2023',756
1654,'17-07-2025',993
1655,'23-12-2025',756
1656,'14-10-2025',761
1657,'08-02-2023',747
1658,'05-09-2024',58
1659,'07-09-2024',923
1660,'25-03-2025',605
1661,'05-04-2024',16
1662,'06-01-2023',522
1663,'06-08-2024',500
1664,'20-06-2024',907
1665,'03-06-2023',916
1666,'03-01-2023',807
1667,'27-02-2024',241
1668,'30-04-2023',277
1669,'31-05-2023',343
1670,'25-07-2025',603
1671,'20-04-2024',432
1672,'26-09-2023',579
1673,'05-11-2025',664
1674,'09-10-2023',726
1675,'03-07-2023',317
1676,'05-01-2024',411
1677,'23-03-2024',355
1678,'20-11-2024',708
1679,'21-11-2023',378
1680,'10-02-2023',378
1681,'23-03-2024',39
1682,'25-05-2023',341
1683,'31-01-2024',801
1684,'28-02-2023',230
1685,'04-10-2025',872
1686,'12-05-2024',514
1687,'01-08-2024',52
1688,'02-04-2023',752
1689,'26-03-2024',843
1690,'03-12-2025',375
1691,'24-01-2024',406
1692,'24-03-2024',557
1693,'26-01-2025',559
1694,'05-09-2023',705
1695,'02-03-2024',586
1696,'28-09-2024',299
1697,'09-01-2024',75
1698,'31-07-2023',701
1699,'20-05-2023',557
1700,'17-06-2024',775
1701,'30-08-2025',783
1702,'13-09-2025',847
1703,'11-05-2023',79
1704,'31-03-2025',443
1705,'29-01-2024',223
1706,'04-01-2023',201
1707,'30-10-2023',999
1708,'01-10-2023',928
1709,'08-02-2025',743
1710,'16-01-2024',474
1711,'30-10-2024',19
1712,'17-06-2023',887
1713,'16-04-2025',543
1714,'19-07-2023',935
1715,'21-03-2023',606
1716,'12-07-2024',273
1717,'04-05-2025',812
1718,'23-04-2023',354
1719,'04-12-2023',419
1720,'19-01-2024',972
1721,'11-04-2024',580
1722,'01-08-2023',845
1723,'13-12-2023',301
1724,'23-12-2023',933
1725,'25-02-2023',698
1726,'05-07-2025',910
1727,'29-07-2025',763
1728,'15-01-2023',749
1729,'12-02-2023',180
1730,'07-03-2023',380
1731,'27-08-2024',967
1732,'17-08-2024',200
1733,'16-01-2025',314
1734,'03-06-2024',618
1735,'23-08-2025',269
1736,'07-11-2024',534
1737,'17-07-2025',552
1738,'06-05-2025',715
1739,'23-04-2025',487
1740,'17-03-2023',270
1741,'06-02-2025',550
1742,'14-10-2024',215
1743,'25-12-2025',230
1744,'12-12-2025',595
1745,'21-08-2023',791
1746,'06-09-2024',922
1747,'22-04-2024',539
1748,'20-06-2024',519
1749,'16-11-2024',40
1750,'08-02-2025',932
1751,'07-10-2023',428
1752,'25-07-2024',469
1753,'25-02-2023',242
1754,'29-01-2025',915
1755,'29-02-2024',92
1756,'08-10-2025',940
1757,'07-10-2023',345
1758,'18-11-2024',503
1759,'12-01-2025',277
1760,'14-02-2023',529
1761,'06-03-2024',714
1762,'13-06-2023',187
1763,'08-10-2023',66
1764,'13-03-2025',77
1765,'20-03-2023',678
1766,'20-04-2024',844
1767,'06-12-2024',389
1768,'07-07-2024',775
1769,'07-01-2023',922
1770,'10-01-2024',76
1771,'19-11-2024',894
1772,'07-04-2025',588
1773,'17-05-2025',718
1774,'20-03-2025',965
1775,'16-11-2023',305
1776,'30-10-2025',652
1777,'15-04-2023',948
1778,'31-08-2025',863
1779,'17-09-2025',193
1780,'06-06-2025',873
1781,'29-06-2023',494
1782,'18-08-2025',37
1783,'09-09-2023',282
1784,'22-10-2025',79
1785,'27-12-2024',365
1786,'18-07-2025',104
1787,'02-03-2025',221
1788,'14-03-2023',63
1789,'18-07-2023',400
1790,'20-09-2025',664
1791,'14-08-2025',755
1792,'16-11-2024',880
1793,'15-03-2023',660
1794,'05-11-2023',266
1795,'16-06-2024',328
1796,'27-05-2025',762
1797,'11-03-2025',55
1798,'19-06-2023',216
1799,'08-03-2024',988
1800,'02-08-2025',714
1801,'01-01-2024',11
1802,'17-10-2024',630
1803,'01-01-2025',635
1804,'26-02-2024',404
1805,'25-02-2024',176
1806,'02-10-2023',896
1807,'23-04-2023',323
1808,'31-10-2023',616
1809,'23-06-2023',716
1810,'12-07-2025',768
1811,'17-04-2023',830
1812,'22-04-2024',605
1813,'20-03-2023',686
1814,'01-10-2024',383
1815,'25-04-2023',6
1816,'08-01-2025',514
1817,'28-11-2025',4
1818,'29-08-2024',462
1819,'01-01-2024',149
1820,'21-01-2024',776
1821,'03-11-2024',304
1822,'14-07-2024',135
1823,'07-08-2024',784
1824,'04-08-2023',202
1825,'10-01-2023',318
1826,'07-04-2023',223
1827,'24-11-2023',58
1828,'24-01-2025',877
1829,'27-05-2023',887
1830,'24-03-2024',734
1831,'21-04-2023',169
1832,'12-07-2025',873
1833,'18-07-2025',345
1834,'16-12-2025',594
1835,'04-01-2025',637
1836,'30-08-2025',733
1837,'28-03-2023',994
1838,'14-03-2023',550
1839,'21-02-2025',109
1840,'21-07-2024',313
1841,'12-11-2025',40
1842,'26-05-2024',743
1843,'28-09-2025',193
1844,'13-10-2024',125
1845,'10-01-2025',100
1846,'01-12-2025',428
1847,'21-03-2024',531
1848,'01-04-2023',819
1849,'02-10-2024',726
1850,'14-04-2025',940
1851,'23-07-2025',953
1852,'03-08-2025',6
1853,'27-08-2024',83
1854,'03-08-2024',763
1855,'18-06-2024',816
1856,'03-04-2024',496
1857,'15-02-2023',116
1858,'01-10-2023',589
1859,'24-06-2024',937
1860,'07-08-2023',86
1861,'28-12-2025',958
1862,'26-11-2024',64
1863,'17-12-2023',112
1864,'30-04-2024',221
1865,'01-06-2023',564
1866,'05-05-2024',262
1867,'27-08-2023',656
1868,'04-11-2025',379
1869,'05-12-2025',464
1870,'08-07-2025',43
1871,'03-04-2024',731
1872,'27-03-2023',871
1873,'24-12-2023',295
1874,'03-06-2023',125
1875,'07-10-2024',105
1876,'28-03-2025',739
1877,'08-11-2024',18
1878,'25-07-2023',12
1879,'04-06-2024',501
1880,'18-09-2025',156
1881,'27-01-2023',108
1882,'27-04-2024',724
1883,'08-04-2025',724
1884,'02-08-2023',978
1885,'19-08-2024',602
1886,'14-01-2025',632
1887,'04-06-2024',710
1888,'25-07-2024',836
1889,'03-09-2023',900
1890,'11-03-2023',667
1891,'12-05-2025',489
1892,'29-10-2023',923
1893,'20-10-2023',176
1894,'21-11-2025',70
1895,'25-07-2023',293
1896,'14-08-2024',684
1897,'02-02-2024',545
1898,'26-03-2024',228
1899,'24-01-2025',41
1900,'04-11-2025',864
1901,'25-02-2024',692
1902,'09-04-2024',822
1903,'01-11-2023',76
1904,'14-06-2024',524
1905,'20-08-2024',130
1906,'02-12-2024',444
1907,'08-05-2023',166
1908,'17-05-2023',13
1909,'12-09-2025',333
1910,'13-12-2024',842
1911,'10-04-2025',930
1912,'12-02-2025',277
1913,'28-06-2023',340
1914,'20-12-2023',360
1915,'23-03-2024',856
1916,'24-01-2023',559
1917,'18-01-2023',103
1918,'06-01-2025',657
1919,'07-08-2023',307
1920,'07-11-2023',192
1921,'15-11-2025',548
1922,'23-05-2025',171
1923,'05-12-2024',337
1924,'10-11-2025',728
1925,'07-10-2024',519
1926,'13-12-2024',393
1927,'27-10-2023',298
1928,'10-05-2025',371
1929,'22-09-2023',226
1930,'11-01-2023',299
1931,'13-05-2023',834
1932,'11-02-2025',258
1933,'16-04-2023',547
1934,'28-04-2025',509
1935,'16-03-2025',360
1936,'12-02-2023',132
1937,'29-04-2025',796
1938,'12-12-2023',833
1939,'20-09-2024',34
1940,'15-12-2024',511
1941,'26-06-2023',933
1942,'28-03-2023',357
1943,'25-10-2024',551
1944,'17-04-2023',385
1945,'07-06-2023',293
1946,'16-03-2023',816
1947,'09-07-2025',155
1948,'26-08-2023',693
1949,'04-10-2024',524
1950,'14-10-2023',274
1951,'20-11-2025',143
1952,'21-07-2023',178
1953,'27-05-2023',754
1954,'14-10-2024',119
1955,'27-05-2024',367
1956,'23-12-2023',287
1957,'30-03-2023',34
1958,'02-11-2024',509
1959,'16-09-2025',819
1960,'25-09-2023',209
1961,'18-09-2024',87
1962,'01-10-2025',698
1963,'24-10-2025',314
1964,'27-05-2023',443
1965,'09-05-2024',656
1966,'18-10-2024',773
1967,'13-10-2023',720
1968,'08-03-2025',670
1969,'24-12-2025',17
1970,'03-08-2024',126
1971,'10-11-2025',879
1972,'24-07-2024',526
1973,'31-10-2023',132
1974,'27-08-2023',237
1975,'13-07-2024',945
1976,'30-09-2023',119
1977,'07-03-2025',584
1978,'13-06-2025',470
1979,'03-02-2024',876
1980,'25-09-2024',198
1981,'04-09-2025',277
1982,'27-09-2023',640
1983,'20-06-2024',546
1984,'09-10-2023',257
1985,'28-08-2025',708
1986,'10-05-2024',104
1987,'22-07-2025',144
1988,'02-06-2025',980
1989,'29-06-2024',133
1990,'21-09-2024',136
1991,'15-01-2023',738
1992,'04-10-2023',880
1993,'28-07-2024',450
1994,'11-12-2023',373
1995,'29-04-2025',445
1996,'05-10-2023',75
1997,'19-03-2025',354
1998,'01-01-2024',288
1999,'03-12-2025',869
2000,'13-08-2025',64
2001,'29-04-2024',51
2002,'07-12-2023',377
2003,'17-11-2024',888
2004,'26-02-2025',739
2005,'19-10-2024',454
2006,'14-06-2023',372
2007,'31-05-2024',651
2008,'29-09-2025',730
2009,'02-02-2024',263
2010,'07-07-2024',943
2011,'04-06-2025',530
2012,'01-02-2023',172
2013,'15-07-2023',56
2014,'06-09-2024',773
2015,'05-10-2023',371
2016,'09-01-2025',15
2017,'09-09-2025',330
2018,'06-08-2025',696
2019,'26-06-2025',45
2020,'16-12-2025',19
2021,'21-09-2024',337
2022,'20-03-2024',144
2023,'08-05-2024',112
2024,'24-06-2025',672
2025,'19-03-2024',275
2026,'23-03-2024',550
2027,'10-09-2024',933
2028,'09-07-2025',908
2029,'25-01-2025',879
2030,'06-09-2023',546
2031,'21-09-2023',865
2032,'04-10-2025',486
2033,'05-02-2024',327
2034,'31-03-2023',935
2035,'16-09-2024',11
2036,'14-05-2023',558
2037,'11-08-2025',82
2038,'27-01-2023',820
2039,'22-12-2024',325
2040,'16-11-2025',240
2041,'12-01-2023',118
2042,'20-04-2025',484
2043,'25-07-2025',206
2044,'22-10-2024',785
2045,'05-07-2024',723
2046,'03-05-2023',445
2047,'03-03-2023',415
2048,'04-09-2024',173
2049,'12-03-2023',417
2050,'31-08-2024',923
2051,'04-11-2025',761
2052,'11-03-2025',244
2053,'25-12-2025',215
2054,'31-05-2025',689
2055,'05-06-2025',789
2056,'14-02-2024',683
2057,'27-10-2023',215
2058,'05-05-2025',213
2059,'26-03-2023',833
2060,'25-12-2025',36
2061,'25-01-2024',178
2062,'12-12-2023',675
2063,'11-12-2024',228
2064,'01-06-2025',566
2065,'09-10-2023',22
2066,'04-01-2024',445
2067,'27-05-2024',548
2068,'14-09-2025',898
2069,'28-04-2023',542
2070,'13-12-2024',470
2071,'27-08-2025',181
2072,'11-10-2025',295
2073,'20-08-2025',853
2074,'13-07-2024',388
2075,'09-05-2025',191
2076,'29-08-2025',828
2077,'19-12-2023',474
2078,'21-07-2023',994
2079,'18-09-2024',75
2080,'31-07-2024',451
2081,'17-07-2023',125
2082,'27-06-2023',911
2083,'20-02-2023',478
2084,'18-07-2025',96
2085,'11-11-2023',715
2086,'05-05-2023',282
2087,'13-02-2024',111
2088,'27-03-2025',763
2089,'21-06-2025',474
2090,'15-07-2023',577
2091,'28-08-2023',556
2092,'04-07-2023',809
2093,'08-07-2023',978
2094,'13-08-2025',439
2095,'14-05-2024',401
2096,'17-11-2025',426
2097,'06-05-2025',118
2098,'11-07-2025',582
2099,'15-03-2025',619
2100,'23-11-2023',600
2101,'28-10-2024',190
2102,'16-06-2025',775
2103,'26-12-2024',76
2104,'15-04-2024',648
2105,'05-01-2023',204
2106,'18-03-2024',331
2107,'04-09-2023',80
2108,'30-11-2023',6
2109,'17-08-2025',574
2110,'07-10-2025',489
2111,'22-04-2025',573
2112,'13-02-2025',886
2113,'29-01-2023',308
2114,'02-09-2023',955
2115,'28-04-2024',415
2116,'17-04-2024',53
2117,'21-06-2025',640
2118,'05-05-2025',366
2119,'23-09-2025',157
2120,'14-08-2024',825
2121,'24-11-2024',36
2122,'14-03-2023',637
2123,'15-10-2024',458
2124,'28-05-2023',422
2125,'22-11-2023',993
2126,'28-03-2023',254
2127,'03-08-2023',334
2128,'21-09-2024',132
2129,'17-07-2024',207
2130,'22-09-2024',41
2131,'21-03-2023',557
2132,'22-05-2025',665
2133,'22-07-2023',894
2134,'06-01-2024',912
2135,'20-09-2023',808
2136,'27-01-2023',770
2137,'06-11-2025',314
2138,'24-06-2025',588
2139,'29-11-2023',163
2140,'29-12-2025',445
2141,'01-04-2024',474
2142,'19-05-2023',751
2143,'21-01-2025',46
2144,'14-04-2025',176
2145,'14-08-2023',672
2146,'30-12-2024',69
2147,'02-11-2024',498
2148,'09-06-2023',274
2149,'11-11-2023',945
2150,'27-11-2024',955
2151,'03-02-2024',605
2152,'10-07-2024',990
2153,'31-03-2025',460
2154,'24-03-2024',222
2155,'19-06-2025',98
2156,'11-12-2025',236
2157,'20-09-2023',844
2158,'21-09-2024',226
2159,'26-03-2025',126
2160,'08-04-2025',173
2161,'23-08-2025',111
2162,'22-09-2023',375
2163,'16-07-2025',77
2164,'01-12-2025',352
2165,'16-11-2024',958
2166,'01-01-2024',979
2167,'24-06-2025',645
2168,'18-03-2023',149
2169,'26-03-2024',294
2170,'09-03-2024',982
2171,'30-06-2024',990
2172,'05-01-2025',387
2173,'21-10-2023',547
2174,'05-08-2025',249
2175,'15-04-2024',523
2176,'11-07-2024',524
2177,'10-01-2025',565
2178,'04-08-2023',389
2179,'17-08-2023',547
2180,'22-11-2024',106
2181,'25-09-2023',126
2182,'07-07-2024',936
2183,'09-11-2025',505
2184,'24-11-2023',1
2185,'26-03-2024',809
2186,'05-05-2025',616
2187,'19-11-2024',697
2188,'31-07-2025',501
2189,'03-06-2024',712
2190,'10-11-2025',316
2191,'14-08-2025',457
2192,'20-07-2023',861
2193,'12-05-2025',487
2194,'18-08-2024',196
2195,'03-10-2023',442
2196,'06-01-2023',680
2197,'22-05-2024',95
2198,'10-03-2023',330
2199,'28-04-2023',736
2200,'06-08-2023',61
2201,'05-12-2023',112
2202,'11-11-2023',453
2203,'08-09-2025',822
2204,'05-09-2024',743
2205,'02-09-2025',934
2206,'24-05-2023',667
2207,'13-11-2025',762
2208,'18-08-2024',823
2209,'21-07-2023',522
2210,'20-05-2024',680
2211,'14-08-2023',637
2212,'19-06-2023',854
2213,'26-08-2023',985
2214,'02-09-2024',960
2215,'18-05-2023',381
2216,'16-03-2024',196
2217,'31-07-2023',209
2218,'21-11-2023',544
2219,'01-01-2024',397
2220,'04-09-2025',397
2221,'12-01-2023',231
2222,'10-08-2025',152
2223,'30-08-2023',503
2224,'20-05-2025',270
2225,'05-04-2025',566
2226,'20-06-2023',707
2227,'19-07-2024',126
2228,'30-03-2025',530
2229,'19-10-2023',267
2230,'27-01-2025',590
2231,'02-02-2024',401
2232,'06-10-2023',982
2233,'20-05-2024',826
2234,'07-10-2024',379
2235,'30-01-2024',778
2236,'15-10-2025',874
2237,'24-09-2024',51
2238,'27-06-2024',52
2239,'05-05-2023',210
2240,'22-04-2024',311
2241,'27-04-2025',383
2242,'19-08-2025',159
2243,'26-03-2024',506
2244,'01-04-2025',391
2245,'03-07-2023',328
2246,'13-05-2023',287
2247,'29-12-2023',93
2248,'01-07-2025',321
2249,'09-07-2025',821
2250,'21-07-2024',220
2251,'05-05-2024',475
2252,'24-05-2023',483
2253,'01-05-2024',199
2254,'28-03-2025',499
2255,'17-05-2025',199
2256,'08-03-2024',825
2257,'31-07-2023',692
2258,'20-04-2023',759
2259,'06-11-2025',895
2260,'24-11-2024',447
2261,'22-07-2023',835
2262,'21-08-2024',178
2263,'30-05-2025',309
2264,'10-08-2024',92
2265,'11-06-2025',947
2266,'12-09-2025',606
2267,'28-02-2023',554
2268,'25-08-2023',515
2269,'09-05-2023',87
2270,'29-08-2023',512
2271,'15-07-2025',494
2272,'16-11-2023',964
2273,'23-02-2023',653
2274,'17-12-2024',80
2275,'07-03-2023',597
2276,'31-07-2024',452
2277,'03-02-2023',323
2278,'07-01-2023',615
2279,'25-05-2023',615
2280,'09-03-2024',441
2281,'30-11-2025',542
2282,'18-05-2023',105
2283,'05-10-2025',129
2284,'06-01-2024',532
2285,'25-04-2025',265
2286,'18-11-2025',488
2287,'04-02-2023',119
2288,'20-11-2023',722
2289,'05-08-2024',204
2290,'17-10-2025',435
2291,'05-05-2024',291
2292,'17-04-2024',795
2293,'16-05-2023',338
2294,'27-06-2025',618
2295,'28-02-2025',377
2296,'05-12-2025',361
2297,'31-10-2023',800
2298,'25-10-2024',306
2299,'26-02-2024',420
2300,'25-07-2023',334
2301,'30-12-2025',591
2302,'29-11-2024',813
2303,'06-06-2023',632
2304,'20-11-2023',165
2305,'29-12-2025',418
2306,'18-01-2025',291
2307,'19-05-2024',847
2308,'04-07-2023',986
2309,'11-12-2023',574
2310,'05-01-2023',409
2311,'31-05-2023',942
2312,'26-12-2023',508
2313,'16-09-2024',458
2314,'25-11-2025',314
2315,'21-02-2023',130
2316,'14-09-2025',881
2317,'24-10-2025',931
2318,'09-02-2023',222
2319,'11-05-2025',477
